id;name
1000002;Адыгейск
83;Майкоп
46;Горно-Алтайск
1312;Алейск
25;Барнаул
1396;Белокуриха
27;Бийск
1122529;Горняк
324;Заринск
14454;Змеиногорск
3238;Камень-на-Оби
2367;Новоалтайск
424;Рубцовск
18180;Славгород
1101;Яровое
1220;Белогорск
30;Благовещенск
1193;Завитинск
838;Зея
2618;Райчихинск
22295;Свободный
2890;Сковородино
2023;Тында
18759;Циолковский (Углегорск)
6864;Шимановск
22;Архангельск
12269;Вельск
9664;Каргополь
210;Коряжма
266;Котлас
6947;Мезень
3621;Мирный
338;Новодвинск
3644;Няндома
2365;Онега
11;Северодвинск
3233;Сольвычегодск
8542;Шенкурск
23;Астрахань
1634;Ахтубинск
1259;Знаменск
16229;Камызяк
1004461;Нариманов
3634;Харабали
6294;Агидель
5048;Баймак
1167;Белебей
524;Белорецк
29;Бирск
14210;Давлеканово
1660;Дюртюли
360;Ишимбай
1245;Кумертау
1415;Межгорье
2093;Мелеуз
243;Нефтекамск
9196;Октябрьский
264;Салават
1767;Сибай
135;Стерлитамак
21244;Туймазы
151;Уфа
11442;Учалы
8139;Янаул
1009407;Алексеевка
26;Белгород
13664;Бирюч (Красногвардейское)
3209;Валуйки
1009914;Грайворон
1009964;Губкин
7096;Короча
20950;Новый Уренгой
274;Старый Оскол
6123;Строитель
5252;Шебекино
33;Брянск
9869;Дятьково
6154;Жуковка
1011858;Злынка
10406;Карачев
14071;Клинцы
7552;Мглин
13629;Новозыбков
2732;Почеп
19933;Севск
1011302;Сельцо (деревня)
1137;Стародуб
3185;Сураж
6157;Трубчевск
716;Унеча
6924;Фокино
1124431;Бабушкин
993;Гусиноозерск
4299;Закаменск
3232;Кяхта
1746;Северобайкальск
148;Улан-Удэ
398;Александров
39;Владимир
1232;Вязники
1125366;Гороховец
14067;Камешково
9281;Карабаново
3393;Киржач
68;Ковров
4834;Кольчугино
15893;Костерево
15434;Курлово
8238;Лакинск
4991;Меленки
807;Муром
1275;Петушки
6464;Покров / Орджоникидзе
1426;Радужный
2544;Собинка
1125042;Струнино
20231;Судогда
1284;Суздаль
5833;Юрьев-Польский
10;Волгоград
40;Волжский
17886;Дубовка
6911;Жирновск
1759;Калач-на-Дону
542;Камышин
1811;Котельниково
1014618;Котово
1052841;Краснослободск
1809;Ленинск-Кузнецкий
7458;Михайловка
1956;Николаевск-на-Амуре
8528;Новоаннинский
1015163;Палласовка
19893;Петров Вал
1015315;Серафимович
17454;Суровикино
785;Урюпинск
1015651;Фролово
1015722;Бабаево
2553;Белозерск
35;Великий Новгород
41;Вологда
1839;Вытегра
13360;Грязовец
1021084;Кадников
5667;Кириллов
4931;Красавино
2142;Никольск
12923;Сокол
13361;Тотьма
2070;Устюжна
2581;Харовск
8;Череповец
17200;Бобров
322;Богучар
505;Борисоглебск
9292;Бутурлиновка
42;Воронеж
4892;Калач
502;Лиски
18239;Нововоронеж
4241;Новохоперск
7371;Острогожск
17057;Павловск
3995;Поворино
1707;Россошь
16503;Семилуки
17206;Эртиль
2886;Буйнакск
10876;Дагестанские Огни
171;Дербент
1075;Избербаш
3102;Каспийск
2454;Кизилюрт
18300;Кизляр
85;Махачкала
1185;Хасавюрт
1027296;Южно-Сухокумск
28;Биробиджан
20361;Облучье
3474;Балей
4658;Борзя
1962;Краснокаменск
12262;Могоча
4267;Нерчинск
9685;Сретенск
11120;Хилок
161;Чита
6047;Шилка
3732;Вичуга
1116469;Гаврилов-Ям
3821;Заволжск
55;Иваново
3880;Кинешма
70;Комсомольск-на-Амуре
18253;Кохма
12680;Наволоки
1029177;Плёс
1029187;Приволжск
18637;Пучеж
2862;Родники
5586;Тейково
8521;Фурманов
165;Шуя
4993;Южа
5818;Юрьевец
4315;Карабулак
7379;Магас
7553;Малгобек
89;Назрань
14652;Сунжа (Орджоникидзевская)
1128336;Алзамай
19;Ангарск
2708;Байкальск
2086;Бирюсинск
6781;Бодайбо
32;Братск
5141;Вихоревка
2716;Зима
57;Иркутск
5301;Киренск
1096;Нижнеудинск
1263;Саянск
5077;Свирск
850;Слюдянка
6222;Тайшет
4523;Тулун
1036;Усть-Илимск
2829;Усть-Кут
8267;Черемхово
2877;Шелехов
2852;Баксан
957;Майский
90;Нальчик
2686;Нарткала
2444;Прохладный
3029;Терек
12031;Тырныауз
3871;Чегем
1030635;Багратионовск
293;Балтийск
6379;Гвардейск
1178;Гурьевск
1777;Гусев
2849;Зеленоградск
61;Калининград
2194;Краснознаменск
3181;Ладушкин
16118;Мамоново
5994;Неман
8685;Нестеров
941;Озерск
6198;Пионерский
8398;Полесск
5884;Правдинск
11601;Приморск
2262;Светлогорск
14374;Светлый
8943;Славск
5099;Советск
12945;Черняховск
1031804;Городовиковск
355;Лагань
166;Элиста
1032327;Балабаново
1032799;Белоусово
3548;Боровск
1032359;Ермолино
1032711;Жиздра
1301;Жуков
62;Калуга
66;Киров
18091;Козельск
1604;Кондрово
1359;Кремёнки
2417;Людиново
718;Малоярославец
10528;Медынь
17488;Мещовск
4295;Мосальск
103;Обнинск
1399;Сосенский
16538;Спас-Деменск
5985;Сухиничи
1549;Таруса
6493;Юхнов
4433;Вилючинск
889;Елизово
63;Карачаевск
1035412;Верхняя Теберда
5238;Усть-Джегута
159;Черкесск
726;Беломорск
846;Кемь
1086;Кондопога
472;Костомукша
1066;Лахденпохья
2974;Медвежьегорск
2217;Олонец
112;Петрозаводск
202;Питкяранта
1041;Пудож
1488;Сегежа
891;Сортавала
1974;Суоярви
9115;Анжеро-Судженск
994;Белово
2236;Березовский
18746;Калтан
64;Кемерово
5915;Киселевск
5955;Мариинск
1129456;Междуреченск
3248;Мыски
97;Новокузнецк
2771;Осинники
4655;Полысаево
468;Прокопьевск
18872;Салаир
9449;Тайга
496;Таштагол
3244;Топки
258;Юрга
2334;Белая Церковь
13307;Вятские Поляны
1130950;Зуевка
346;Кирово-Чепецк
8741;Кирс
2999;Котельнич
12496;Луза
1132142;Малмыж
10786;Мураши
16540;Нолинск
3667;Омутнинск
1132930;Орлов
6429;Слободской
1508286;Сосновка
6482;Уржум
3965;Яранск
190;Воркута
2943;Вуктыл
5828;Емва
255;Инта
1520;Микунь
589;Печора
1060;Сосногорск
138;Сыктывкар
21713;Усинск
152;Ухта
2760;Буй
16729;Волгореченск
18445;Галич
1038423;Кологрив
71;Кострома
17096;Макарьев
2859;Мантурово
5487;Нерехта
5115;Нея
1083;Солигалич
14771;Чухлома
1043;Шарья
1115;Абинск
354;Анапа
1394;Апшеронск
21;Армавир
2163;Белореченск
44;Геленджик
6875;Горячий Ключ
2895;Гулькевичи
788;Ейск
624;Кореновск
72;Краснодар
2066;Кропоткин
288;Крымск
5315;Курганинск
2747;Лабинск
1812;Новокубанск
98;Новороссийск
129;Славянск-на-Кубани
133;Сочи
2486;Темрюк
2322;Тимашевск
1186;Тихорецк
1151;Туапсе
3229;Усть-Лабинск
4670;Хадыженск
1502742;Бахмут / Артемовск
882;Ачинск
11881;Боготол
17571;Бородино
641;Дивногорск
213;Дудинка
2152;Енисейск
4644;Железногорск
4574;Заозерный
260;Зеленогорск
1683;Игарка
18022;Иланский
1930;Канск
4538;Кодинск
73;Красноярск
3156;Лесосибирск
3653;Минусинск
2611;Назарово
102;Норильск
261;Сосновоборск
4234;Ужур
1693;Уяр
311;Шарыпово
818;Ялта
2510;Алушта
11243;Армянск
475;Бахчисарай
619;Джанкой
799;Евпатория
478;Керчь
1433;Красноперекопск
4331;Саки
627;Симферополь
7188;Судак
1483;Феодосия
1137324;Далматово
4838;Катайск
74;Курган
12065;Куртамыш
15390;Макушино
6251;Петухово
163;Шадринск
5297;Шумиха
16619;Щучье
15713;Дмитриев
75;Курск
290;Курчатов
2448;Льгов
3824;Обоянь
4216;Рыльск
20671;Суджа
10527;Фатеж
2939;Щигры
1307;Бокситогорск
6799;Волосово
199;Волхов
197;Всеволожск
177;Выборг
4450;Высоцк
1519;Гатчина
1511;Ивангород
1670;Каменногорск
191;Кингисепп
1743;Кириши
4142;Кировск
1530;Коммунар
1046129;Кудрово
503;Лодейное Поле
79;Луга
525;Сланцы
1048255;Сосновый Бор
2508;Сясьстрой
186;Тихвин
20691;Тосно
522;Шлиссельбург
1048685;Грязи
1316;Данков
51;Елец
6980;Задонск
760;Лебедянь
78;Липецк
18779;Усмань
3273;Чаплыгин
81;Магадан
1690;Сусуман
3249;Волжск
10860;Звенигово
59;Йошкар-Ола
3727;Козьмодемьянск
12415;Ардатов
3122;Инсар
6961;Ковылкино
120;Рузаевка
124;Саранск
5803;Темников
4536;Апрелевка
24;Балашиха
5488026;Дмитриевка (Белоозерский с/с)
2118;Бронницы
1056646;Верея
36;Видное
2079;Волоколамск
16975;Высоковск
1037;Голицыно
598;Дедовск
20558;Дзержинский
857;Долгопрудный
1054308;Домодедово
3101;Дрезна
21611;Дубна
910;Егорьевск
53;Жуковский
3263;Зарайск
3910;Звенигород
20404;Ивантеевка
1014;Кашира
69;Коломна
859;Королёв
3787;Котельники
8488;Покровск / Красноармейск
483;Красногорск
2316;Краснозаводск
20306;Кубинка
962;Куровское
2443;Ликино-Дулево
8162;Лобня
1526;Луховицы
801;Лыткарино
80;Люберцы
991;Можайск
312;Мытищи
5489;Озёры
4757;Павловский Посад
2125;Пересвет
270;Подольск
449;Протвино
1057953;Пушкино
115;Пущино
117;Раменское
459;Реутов
2816;Рошаль
4059;Руза
340;Серпухов
352;Солнечногорск
640;Старая Русса
397;Ступино
6485;Талдом
591;Фрязино
155;Химки
11260;Хотьково
530;Черноголовка
872;Чехов
1297;Щелково
1457;Электрогорск
580;Электросталь
3022;Электроугли
1890;Яхрома
175;Апатиты
1062;Гаджиево
7406;Заозерск
4011;Заполярный
326;Кандалакша
1092;Ковдор
5543;Кола
187;Мончегорск
87;Мурманск
240;Оленегорск
687;Островной
376;Полярные Зори
7139;Полярный
172;Североморск
20281;Снежногорск
2487;Нарьян-Мар
20;Арзамас
6111;Балахна
2225;Богородск
1139062;Бор
16900;Ветлуга
13872;Володарск
1803;Ворсма
6923;Выкса
13905;Горбатов
9758;Городец
621;Дзержинск
19296;Заволжье
1594;Княгинино
548;Кстово
1781;Кулебаки
7380;Лукоянов
4310;Лысково
854;Навашино
