id;name;city_id
88002;Школа № 1;1000002
98484;Школа № 2;1000002
150379;Школа № 3 им. Ю. И. Тлюстена;1000002
395086;Школа № 6;1000002
296382;Школа № 1;83
36569;Гимназия №1;83
111664;Школа-интернат № 1;83
68804;Вечерняя школа № 1;83
186934;Музыкальная школа № 1;83
215716;Школа искусств № 1;83
217727;Профессиональное училище № 1;83
287092;Школа № 2;83
387602;Музыкальная школа № 2;83
7419;Школа № 3;83
452399;Музыкальная школа № 3;83
50119;Профессиональный лицей № 3;83
1805760;Школа искусств № 3;83
35992;Школа № 4;83
7041;Гимназия № 5 (бывш. шк. № 5);83
287113;Профессионально-техническое училище № 5;83
287090;Школа № 6;83
141966;Профессиональный лицей № 6;83
420595;Школа № 7;83
4185;Школа № 8;83
287087;Школа № 9;83
163209;Школа № 10;83
47146;Школа № 11;83
157952;Школа № 13;83
21627;Школа № 15;83
287100;Школа № 16;83
287084;Школа № 17;83
217259;Профессионально-техническое училище № 17;83
5829;Школа № 19;83
130679;Лицей № 19;83
28668;Школа № 20;83
287101;Школа № 21;83
16460;Школа № 22;83
287139;Гимназия № 22;83
3131;Школа № 24;83
131440;Школа № 27;83
24133;Школа № 28;83
33858;Школа № 29 (начальная);83
166434;Школа № 30;83
446402;Школа № 31 (начальная);83
51842;Школа № 33 (начальная);83
24126;Лицей социальных и информационных технологий № 34;83
287129;Эколого-биологический лицей № 35;83
143393;Колледж № 35;83
138094;Школа № 47;83
141578;Колледж № 79;83
358485;Автотранспортный техникум;83
1705622;Автошкола ДОСААФ;83
312701;Адыгейская республиканская гимназия (АРГ);83
57393;Адыгейский педагогический колледж им. Х. Андрухаева;83
37929;Гуманитарно-технический колледж (МГГТК АГУ);83
310173;Детская школа народного искусства (МГДШНИ);83
52623;Колледж искусств им. У. Х. Тхабисимова (АРКИ);83
131465;Летняя математическая школа;83
1751009;Лингвистическая студия Mr. Language;83
1771504;Майкопский индустриальный техникум;83
136984;Майкопский медицинский колледж (ММК);83
287117;Музыкальное училище при АГУ;83
287114;Политехнический колледж МГТУ;83
440477;Православная гимназия;83
294730;Республиканская естественно-математическая школа (РЕМШ при АГУ);83
60689;Республиканская физико-математическая школа (РФМШ при АГУ);83
287119;Сельскохозяйственный техникум (МСХТ);83
417171;Специализированная детско-юношеская спортивная школа Олимпийского резерва;83
228285;Техникум деревообрабатывающей промышленности;83
58116;Университетский центр компьютерного обучения «Турбо»;83
163517;Учебный центр Госкомстата РФ;83
197687;Художественная школа;83
1805761;Центр дополнительного образования;83
50357;Центр изучения языков «Актив»;83
414031;Центр интеллектуального развития ребенка;83
420423;Школа экономики, финансов и информационных технологий (ШЭФИТ);83
431275;Эколого-биологический центр (АРДЭБЦ);83
5643;Школа № 1;46
1805881;Лицей № 1 им. М. В. Карамаева;46
78935;Музыкальная школа № 1;46
252155;Школа искусств № 1;46
185663;Профессиональное училище № 1;46
83942;Школа № 2;46
62329;Музыкальная школа № 2;46
276117;Школа № 3;46
4545;Гимназия № 3;46
26943;Кадетская школа № 4;46
101211;Школа № 5;46
111956;Лицей № 6 им. И. З. Шуклина;46
37373;Школа № 7;46
50408;Школа № 8 им. А. Н. Ленкина;46
54206;Школа № 9;46
1768260;Гимназия № 9 «Гармония»;46
385581;Школа № 10;46
64662;Школа № 12;46
82431;Школа № 13;46
357954;Профессиональное училище № 28;46
1705609;Автошкола ДОСААФ;46
1779411;Аграрный колледж ГАГУ;46
323906;Вечерняя (сменная) школа;46
357959;Колледж культуры и искусства (ККИРА);46
357961;Колледж экономики и права (ГАКЭП);46
230312;Медицинский колледж;46
156006;Педагогический колледж (ГАПК);46
894710;Политехнический колледж (ГАГПК, бывш. АТТС);46
181507;Республиканская гимназия им. В. К. Плакаса (РНГ);46
154220;Республиканская художественная школа;46
120438;Республиканский классический лицей (РКЛ);46
357957;Сельскохозяйственный колледж;46
27886;Художественная школа им. В. Н. Костина;46
1706879;Школа искусств «Адамант»;46
357960;Экономический техникум (ГАЭТ);46
70511;Школа № 1;1312
5803;Школа № 2;1312
290731;Школа № 3;1312
25194;Школа № 4;1312
89743;Школа № 5;1312
11049;Школа № 6;1312
152910;Школа № 7;1312
51669;Школа № 9;1312
1854118;Алейская школа-интернат;1312
1779642;Алейский технологический техникум (АТТ);1312
79386;Лицей г. Алейска;1312
142261;Школа искусств;1312
1855390;Алтайская общеобразовательная школа № 1;25
177950;Школа № 1;25
23658;Музыкальная школа № 1 им. А. К. Глазунова;25
61620;Художественная школа № 1;25
216777;Алтайский транспортный техникум (бывш. ПТУ № 1);25
216691;Школа искусств № 1;25
155529;Школа № 2;25
95699;Лицей № 2;25
64263;Музыкальная школа № 2;25
321619;Детско-юношеская спортивная школа № 2;25
67186;Художественная школа № 2;25
194875;Профессионально-техническое училище № 2;25
902755;Профессиональное училище № 2;25
1778657;Школа 3D графики Knower School;25
133370;Школа № 3;25
39304;Лицей № 3;25
228778;Школа искусств № 3;25
278671;Школа № 4;25
1853924;Барнаульская школа-интернат № 4;25
144660;Школа искусств № 4;25
359433;Школа № 5;25
205846;Гимназия № 5;25
70945;Музыкальная школа № 5;25
58952;Школа № 6;25
1860201;Барнаульская школа-интернат № 6;25
1806173;Открытая (сменная) школа № 6;25
211286;Музыкальная школа № 6;25
246510;Школа искусств № 6;25
62778;Школа искусств № 7;25
30824;Спортивная школа № 7;25
119085;Профессионально-техническое училище № 7;25
127254;Школа № 8;25
48845;Школа искусств № 8;25
787693;Профессиональное училище № 8;25
222571;Школа № 9;25
179185;Школа № 10;25
1854044;Спортивная школа № 10;25
124781;Школа № 11;25
1661174;Профессиональное училище № 11;25
53934;Школа № 12;25
187390;Профессиональный лицей № 12;25
151396;Профессионально-техническое училище № 12;25
53604;Школа № 13;25
345810;Профессионально-техническое училище № 13;25
202547;Профессиональное училище № 13;25
65629;Школа № 14;25
195943;Школа № 15;25
247255;Профессиональное училище № 16;25
190841;Вечерняя (сменная) школа № 17;25
223079;Школа № 18;25
340974;Профессиональное училище № 18;25
202191;Профессиональный лицей № 19;25
336419;Открытая (сменная) школа № 20;25
336148;Профессиональное училище № 20;25
39108;Школа № 21;25
1826;Школа № 22;25
118214;Гимназия № 22;25
1526300;Профессиональное училище № 23;25
72103;Школа № 24;25
231388;Школа № 25;25
12428;Гимназия № 25;25
126507;Школа № 26;25
56241;Школа № 27;25
276157;Гимназия № 27 им. В. Е. Смирнова;25
133892;Профессионально-техническое училище № 28;25
94648;Профессионально-техническое училище № 29;25
114859;Школа № 30;25
14960;Школа № 31;25
247817;Профессиональное училище № 33;25
1619008;Техникум индустрии питания и сферы обслуживания (бывш. ПУ № 35);25
73074;Школа № 37;25
207812;Профессиональное училище № 37;25
26820;Школа № 38;25
1728208;Профессиональный лицей № 38;25
21358;Гимназия № 40;25
29476;Школа № 41;25
222480;Школа № 42;25
5252;Гимназия № 42;25
174517;Профессиональное училище № 42;25
342263;Школа № 44;25
5235;Гимназия № 45;25
1596757;Профессиональный лицей № 45;25
73732;Школа № 46;25
53700;Школа № 48;25
51717;Школа № 49;25
73575;Школа № 50;25
47376;Школа № 51;25
51521;Школа № 52;25
23291;Школа № 53;25
41351;Школа № 54;25
27338;Школа № 55;25
116583;Школа № 56;25
13788;Школа № 59;25
71725;Школа № 60;25
65999;Школа № 62;25
8738;Школа № 63;25
59481;Школа № 64;25
337860;Профессиональное училище № 64;25
135962;Школа № 65;25
247904;Школа № 66;25
13977;Школа № 68;25
179560;Школа № 69;25
218357;Гимназия № 69;25
85913;Школа № 70;25
179215;Школа № 71;25
82642;Школа № 73;25
1806171;Лицей № 73;25
177266;Школа № 74;25
51718;Гимназия № 74;25
16859;Школа № 75;25
24135;Школа № 76;25
231603;Профессионально-техническое училище № 76;25
118709;Школа № 77;25
49038;Школа № 78;25
16657;Гимназия № 79;25
86403;Школа № 80;25
1760764;Гимназия № 80;25
48901;Школа № 81;25
1352434;Профессиональное училище № 81;25
14604;Школа № 82;25
23080;Школа № 83;25
35259;Школа № 84;25
10981;Гимназия № 85;25
9729;Лицей № 86;25
61024;Школа № 87;25
61828;Школа № 88;25
40702;Школа № 89;25
49891;Школа № 90;25
35177;Школа № 91;25
78359;Школа № 92;25
58682;Школа № 100;25
18594;Лицей № 101;25
50557;Школа № 102;25
33226;Школа № 103;25
133083;Школа № 105;25
42504;Школа № 106;25
50033;Школа № 107;25
14982;Школа № 108;25
82599;Школа № 110;25
58803;Школа № 111;25
13003;Лицей № 112;25
50323;Школа № 113;25
39577;Школа № 114;25
264709;Школа № 116;25
12613;Школа № 117;25
58557;Школа № 118;25
152758;Начальная школа № 119;25
48844;Школа № 120;25
348119;Школа № 121;25
45016;Лицей № 121;25
125151;Школа № 122;25
50974;Лицей № 122;25
25210;Гимназия № 123;25
29409;Лицей № 124;25
51766;Школа № 125;25
12427;Школа № 126;25
44937;Школа № 127;25
43467;Школа № 128;25
146499;Лицей № 129;25
38649;Лицей № 130 (РАЭПШ);25
178285;Гимназия № 131;25
1698665;Школа № 132 им. Н. М. Малахова;25
1775476;Школа № 133;25
1806170;Школа № 134;25
1782201;Школа № 135;25
1854907;Школа № 136;25
1852001;Школа № 137;25
1855597;Школа № 138;25
1705587;Автошкола ДОСААФ;25
132011;Алтайская академия гостеприимства (бывш. БТЭК);25
134796;Алтайский архитектурно-строительный колледж (ААСК, бывш. БСК);25
1801652;Алтайский бизнес-колледж;25
1636921;Алтайский государственный колледж (АлтГК);25
1860380;Алтайский институт госзакупок (АлтИГЗ);25
1860593;Алтайский институт развития медицинского образования;25
1854292;Алтайский институт развития образования им. А. М. Топорова;25
1739633;Алтайский краевой детский экологический центр (АКДЭЦ);25
75744;Алтайский краевой колледж культуры и искусств (АККК);25
150944;Алтайский краевой педагогический лицей-интернат (АКПЛ);25
74019;Алтайский музыкальный колледж (АлтГМК);25
1772632;Алтайский политехнический техникум;25
87905;Алтайский промышленно-экономический колледж (АПЭК);25
1752942;Алтайский техникум кинологии и предпринимательства;25
187645;Алтайское училище олимпийского резерва (АУОР);25
1823545;Атон — Технологии безопасности;25
81470;Барнаульская банковская школа;25
1853971;Барнаульская классическая школа;25
219351;Барнаульский кооперативный техникум Алтайского крайпотребсоюза (БКТ АКПС);25
